"homestatecode","salestatecode","month","year","txn_count","salestatename","homestatename"
"05","01","2","2024","7","JAMMU AND KASHMIR","UTTARAKHAND"
"06","01","2","2024","32","JAMMU AND KASHMIR","HARYANA"
"07","01","2","2024","3","JAMMU AND KASHMIR","DELHI"
"08","01","2","2024","2","JAMMU AND KASHMIR","RAJASTHAN"
"09","01","2","2024","1012","JAMMU AND KASHMIR","UTTAR PRADESH"
"10","01","2","2024","883","JAMMU AND KASHMIR","BIHAR"
"18","01","2","2024","1","JAMMU AND KASHMIR","ASSAM"
"19","01","2","2024","7","JAMMU AND KASHMIR","WEST BENGAL"
"20","01","2","2024","18","JAMMU AND KASHMIR","JHARKHAND"
"22","01","2","2024","379","JAMMU AND KASHMIR","CHHATTISGARH"
"23","01","2","2024","1003","JAMMU AND KASHMIR","MADHYA PRADESH"
"27","01","2","2024","1","JAMMU AND KASHMIR","MAHARASHTRA"
"01","02","2","2024","2","HIMACHAL PRADESH","JAMMU AND KASHMIR"
"05","02","2","2024","26","HIMACHAL PRADESH","UTTARAKHAND"
"06","02","2","2024","92","HIMACHAL PRADESH","HARYANA"
"07","02","2","2024","29","HIMACHAL PRADESH","DELHI"
"08","02","2","2024","3","HIMACHAL PRADESH","RAJASTHAN"
"09","02","2","2024","7726","HIMACHAL PRADESH","UTTAR PRADESH"
"10","02","2","2024","2291","HIMACHAL PRADESH","BIHAR"
"18","02","2","2024","1","HIMACHAL PRADESH","ASSAM"
"19","02","2","2024","14","HIMACHAL PRADESH","WEST BENGAL"
"20","02","2","2024","50","HIMACHAL PRADESH","JHARKHAND"
"22","02","2","2024","12","HIMACHAL PRADESH","CHHATTISGARH"
"23","02","2","2024","175","HIMACHAL PRADESH","MADHYA PRADESH"
"27","02","2","2024","2","HIMACHAL PRADESH","MAHARASHTRA"
"06","03","2","2024","4","PUNJAB","HARYANA"
"05","04","2","2024","6","CHANDIGARH","UTTARAKHAND"
"09","04","2","2024","19","CHANDIGARH","UTTAR PRADESH"
"10","04","2","2024","21","CHANDIGARH","BIHAR"
"23","04","2","2024","1","CHANDIGARH","MADHYA PRADESH"
"01","05","2","2024","1","UTTARAKHAND","JAMMU AND KASHMIR"
"06","05","2","2024","63","UTTARAKHAND","HARYANA"
"07","05","2","2024","127","UTTARAKHAND","DELHI"
"08","05","2","2024","5","UTTARAKHAND","RAJASTHAN"
"09","05","2","2024","8567","UTTARAKHAND","UTTAR PRADESH"
"10","05","2","2024","1896","UTTARAKHAND","BIHAR"
"18","05","2","2024","1","UTTARAKHAND","ASSAM"
"19","05","2","2024","4","UTTARAKHAND","WEST BENGAL"
"20","05","2","2024","1","UTTARAKHAND","JHARKHAND"
"22","05","2","2024","16","UTTARAKHAND","CHHATTISGARH"
"23","05","2","2024","61","UTTARAKHAND","MADHYA PRADESH"
"24","05","2","2024","3","UTTARAKHAND","GUJARAT"
"27","05","2","2024","3","UTTARAKHAND","MAHARASHTRA"
"01","06","2","2024","13","HARYANA","JAMMU AND KASHMIR"
"02","06","2","2024","4","HARYANA","HIMACHAL PRADESH"
"05","06","2","2024","254","HARYANA","UTTARAKHAND"
"07","06","2","2024","580","HARYANA","DELHI"
"08","06","2","2024","809","HARYANA","RAJASTHAN"
"09","06","2","2024","28159","HARYANA","UTTAR PRADESH"
"10","06","2","2024","22734","HARYANA","BIHAR"
"16","06","2","2024","2","HARYANA","TRIPURA"
